Golf : Lane ties it up, then Canizares gets a grip	0 0 0 0 0 0 0 0 1 0 1	get a grip	figurative	inflection	NOUN PUNCT NOUN VERB PRON PART ADV PROPN VERB DET NOUN	▁Go lf ▁ : ▁Lane ▁ties ▁it ▁up , ▁then ▁Can iza res ▁get s ▁a ▁grip	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	NOUN NOUN PUNCT PUNCT NOUN VERB PRON PART PART ADV PROPN PROPN PROPN VERB VERB DET NOUN
I tried to get a better grip but to my horror my fingers began to run down the door like melting plasticine as I watched from my perilous vantage point.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	literal	insertion-other	PRON VERB PART VERB DET ADJ NOUN CCONJ ADP ADJ NOUN ADJ NOUN VERB PART VERB PART DET NOUN ADP VERB NOUN ADP PRON VERB ADP ADJ ADJ NOUN NOUN	▁I ▁tried ▁to ▁get ▁a ▁better ▁grip ▁but ▁to ▁my ▁horror ▁my ▁fingers ▁began ▁to ▁run ▁down ▁the ▁door ▁like ▁melting ▁plastic ine ▁as ▁I ▁watch ed ▁from ▁my ▁per il ous ▁van t age ▁point .	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB DET ADJ NOUN CCONJ ADP ADJ NOUN ADJ NOUN VERB PART VERB PART DET NOUN ADP VERB NOUN NOUN ADP PRON VERB VERB ADP ADJ ADJ ADJ ADJ NOUN NOUN NOUN NOUN NOUN
Just when you started to think you had finally got a grip on this thing they would throw in the Bombay Khojas and you were right back where you started.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	inflection	ADV ADV PRON VERB PART VERB PRON VERB ADV VERB DET NOUN ADP DET NOUN PRON VERB VERB PART DET PROPN PROPN CCONJ PRON VERB ADV ADV ADV PRON VERB	▁Just ▁when ▁you ▁started ▁to ▁think ▁you ▁had ▁finally ▁got ▁a ▁grip ▁on ▁this ▁thing ▁they ▁would ▁throw ▁in ▁the ▁Bo mb ay ▁Kh oj as ▁and ▁you ▁were ▁right ▁back ▁where ▁you ▁started .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB PART VERB PRON VERB ADV VERB DET NOUN ADP DET NOUN PRON VERB VERB PART DET PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PRON VERB ADV ADV ADV PRON VERB VERB
That looks better, that's got a better grip though.	0 0 0 0 1 0 0 1 0	get a grip	literal	combined-inflection	DET VERB ADJ DET VERB DET ADJ NOUN ADV	▁That ▁looks ▁better , ▁that ' s ▁got ▁a ▁better ▁grip ▁though .	0 0 0 0 0 0 0 1 0 0 1 0 0	DET VERB ADJ ADJ DET DET DET VERB DET ADJ NOUN ADV ADV
I had to get a grip on myself and put this whole wretched business behind me.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	PRON VERB PART VERB DET NOUN ADP PRON CCONJ VERB DET ADJ ADJ NOUN ADP PRON	▁I ▁had ▁to ▁get ▁a ▁grip ▁on ▁myself ▁and ▁put ▁this ▁whole ▁w ret ched ▁business ▁behind ▁me .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB DET NOUN ADP PRON CCONJ VERB DET ADJ ADJ ADJ ADJ NOUN ADP PRON PRON
PUNCH - DRUNK John Major was given a veiled warning by Tory MPs yesterday to get a grip on things.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	get a grip	figurative	identical	PROPN PUNCT PROPN PROPN PROPN VERB VERB DET ADJ NOUN ADP PROPN PROPN NOUN PART VERB DET NOUN ADP NOUN	▁P UN CH ▁- ▁D RU NK ▁John ▁Major ▁was ▁given ▁a ▁veil ed ▁warning ▁by ▁To ry ▁MP s ▁yesterday ▁to ▁get ▁a ▁grip ▁on ▁things .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PROPN PROPN PROPN PUNCT PROPN PROPN PROPN PROPN PROPN VERB VERB DET ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN NOUN PART VERB DET NOUN ADP NOUN NOUN
She had to get a grip on herself.	0 0 0 1 0 1 0 0	get a grip	figurative	identical	PRON VERB PART VERB DET NOUN ADP PRON	▁She ▁had ▁to ▁get ▁a ▁grip ▁on ▁herself .	0 0 0 1 0 1 0 0 0	PRON VERB PART VERB DET NOUN ADP PRON PRON
I still, I s it's still swollen and I still haven't got my full grip, I 'm seeing the surgeon again today	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	get a grip	literal	combined-inflection	PRON ADV PRON VERB PRON ADV ADJ CCONJ PRON ADV VERB VERB ADJ ADJ NOUN PRON VERB VERB DET NOUN ADV NOUN	▁I ▁still , ▁I ▁s ▁it ' s ▁still ▁swollen ▁and ▁I ▁still ▁have n ' t ▁got ▁my ▁full ▁grip , ▁I ▁' m ▁seeing ▁the ▁surgeon ▁again ▁today	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0	PRON ADV ADV PRON VERB PRON PRON PRON ADV ADJ CCONJ PRON ADV VERB VERB VERB VERB VERB ADJ ADJ NOUN NOUN PRON VERB VERB VERB DET NOUN ADV NOUN
I have been round here and I 've asked everybody and you 've told me you 've got your work sheets, now get a grip of yourself, get yourself sorted out	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	get a grip	figurative	identical	PRON VERB VERB ADV ADV CCONJ PRON VERB VERB NOUN CCONJ PRON VERB VERB PRON PRON VERB VERB ADJ NOUN NOUN ADV VERB DET NOUN ADP PRON VERB PRON VERB PART	▁I ▁have ▁been ▁round ▁here ▁and ▁I ▁' ve ▁asked ▁everybody ▁and ▁you ▁' ve ▁told ▁me ▁you ▁' ve ▁got ▁your ▁work ▁sheets , ▁now ▁get ▁a ▁grip ▁of ▁yourself , ▁get ▁yourself ▁sorted ▁out	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	PRON VERB VERB ADV ADV CCONJ PRON VERB VERB VERB NOUN CCONJ PRON VERB VERB VERB PRON PRON VERB VERB VERB ADJ NOUN NOUN NOUN ADV VERB DET NOUN ADP PRON PRON VERB PRON VERB PART
er any angle they can get, get a grip of.	0 0 0 0 0 0 1 0 1 0	get a grip	figurative	identical	INTJ DET NOUN PRON VERB VERB VERB DET NOUN ADP	▁er ▁any ▁angle ▁they ▁can ▁get , ▁get ▁a ▁grip ▁of .	0 0 0 0 0 0 0 1 0 1 0 0	INTJ DET NOUN PRON VERB VERB VERB VERB DET NOUN ADP ADP
I must … get a grip …	0 0 0 1 0 1 0	get a grip	figurative	identical	PRON VERB VERB VERB DET NOUN PUNCT	▁I ▁must ▁... ▁get ▁a ▁grip ▁...	0 0 0 1 0 1 0	PRON VERB VERB VERB DET NOUN PUNCT
We need members need to get a grip on what is happening and my wife suggests this, that the panel erm rather than setting up a new panel, look at the whole issue of school meals, this and other issues.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	PRON VERB NOUN VERB PART VERB DET NOUN ADP NOUN VERB VERB CCONJ ADJ NOUN VERB DET ADP DET NOUN ADV ADV ADP VERB PART DET ADJ NOUN VERB ADP DET ADJ NOUN ADP NOUN NOUN DET CCONJ ADJ NOUN	▁We ▁need ▁members ▁need ▁to ▁get ▁a ▁grip ▁on ▁what ▁is ▁happening ▁and ▁my ▁wife ▁suggests ▁this , ▁that ▁the ▁panel ▁er m ▁rather ▁than ▁setting ▁up ▁a ▁new ▁panel , ▁look ▁at ▁the ▁whole ▁issue ▁of ▁school ▁meals , ▁this ▁and ▁other ▁issues .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN VERB PART VERB DET NOUN ADP NOUN VERB VERB CCONJ ADJ NOUN VERB DET DET ADP DET NOUN ADV ADV ADV ADP VERB PART DET ADJ NOUN NOUN VERB ADP DET ADJ NOUN ADP NOUN NOUN NOUN DET CCONJ ADJ NOUN NOUN
In fact, he was getting a stronger grip on himself as he went along.	0 0 0 0 1 0 0 1 0 0 0 0 0 0	get a grip	figurative	combined-inflection	ADP NOUN PRON VERB VERB DET ADJ NOUN ADP PRON ADP PRON VERB ADV	▁In ▁fact , ▁he ▁was ▁gett ing ▁a ▁stronger ▁grip ▁on ▁himself ▁as ▁he ▁went ▁along .	0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0	ADP NOUN NOUN PRON VERB VERB VERB DET ADJ NOUN ADP PRON ADP PRON VERB ADV ADV
Thankfully he went up to it, getting a grip on its side ropes as he surfaced.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	get a grip	literal	inflection	ADV PRON VERB PART ADP PRON VERB DET NOUN ADP ADJ NOUN NOUN ADP PRON VERB	▁Thank fully ▁he ▁went ▁up ▁to ▁it , ▁gett ing ▁a ▁grip ▁on ▁its ▁side ▁ropes ▁as ▁he ▁surface d .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB PART ADP PRON PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN ADP PRON VERB VERB VERB
‘ Bob,’ she repeated, ‘ I 've got a grip on myself — and I am sitting down.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	get a grip	figurative	inflection	PUNCT NOUN PRON VERB PUNCT PRON VERB VERB DET NOUN ADP PRON PUNCT CCONJ PRON VERB VERB PART	▁ ‘ ▁Bo b , ’ ▁she ▁repeated , ▁ ‘ ▁I ▁' ve ▁got ▁a ▁grip ▁on ▁myself ▁ — ▁and ▁I ▁am ▁sitting ▁down .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT NOUN NOUN NOUN NOUN PRON VERB VERB PUNCT PUNCT PRON VERB VERB VERB DET NOUN ADP PRON PUNCT PUNCT CCONJ PRON VERB VERB PART PART
So far the Secretary of State has failed to get a grip on the spiral of decline in planning standards in some of the most beautiful areas of Wales.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	ADV ADV DET PROPN ADP PROPN VERB VERB PART VERB DET NOUN ADP DET NOUN ADP NOUN ADP NOUN NOUN ADP DET ADP DET ADV ADJ NOUN ADP PROPN	▁So ▁far ▁the ▁Secretary ▁of ▁State ▁has ▁failed ▁to ▁get ▁a ▁grip ▁on ▁the ▁spiral ▁of ▁decline ▁in ▁planning ▁standards ▁in ▁some ▁of ▁the ▁most ▁beautiful ▁areas ▁of ▁Wales .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET PROPN ADP PROPN VERB VERB PART VERB DET NOUN ADP DET NOUN ADP NOUN ADP NOUN NOUN ADP DET ADP DET ADV ADJ NOUN ADP PROPN PROPN
Get a grip! she admonished herself, dashing her tears away.	1 0 1 0 0 0 0 0 0 0	get a grip	figurative	case	VERB DET NOUN PRON VERB PRON VERB ADJ NOUN ADV	▁G et ▁a ▁grip ! ▁she ▁ad mo nished ▁herself , ▁dash ing ▁her ▁tear s ▁away .	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN NOUN PRON VERB VERB VERB PRON PRON VERB VERB ADJ NOUN NOUN ADV ADV
Lloyd's needs to get a grip on more ‘ safe’ business to offset its increasing tendency to be at the wrong end of big disasters such as Piper Alpha.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	PROPN NOUN PART VERB DET NOUN ADP ADV ADJ ADJ NOUN PART VERB ADJ VERB NOUN PART VERB ADP DET ADJ NOUN ADP ADJ NOUN ADJ ADP PROPN PROPN	▁Lloyd ' s ▁needs ▁to ▁get ▁a ▁grip ▁on ▁more ▁ ‘ ▁safe ’ ▁business ▁to ▁offset ▁its ▁increasing ▁tendency ▁to ▁be ▁at ▁the ▁wrong ▁end ▁of ▁big ▁disasters ▁such ▁as ▁Pipe r ▁Alpha .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN NOUN PART VERB DET NOUN ADP ADV ADJ ADJ ADJ ADJ NOUN PART VERB ADJ VERB NOUN PART VERB ADP DET ADJ NOUN ADP ADJ NOUN ADJ ADP PROPN PROPN PROPN PROPN
I must get a grip on myself, she told herself firmly.	0 0 1 0 1 0 0 0 0 0 0	get a grip	figurative	identical	PRON VERB VERB DET NOUN ADP PRON PRON VERB PRON ADV	▁I ▁must ▁get ▁a ▁grip ▁on ▁myself , ▁she ▁told ▁herself ▁firmly .	0 0 1 0 1 0 0 0 0 0 0 0 0	PRON VERB VERB DET NOUN ADP PRON PRON PRON VERB PRON ADV ADV
Their stories weren't ones of passive pain, but tales of active resistance — having somewhere to run to, they 'd got a grip of their own lives.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	get a grip	figurative	inflection	ADJ NOUN VERB NOUN ADP ADJ NOUN CCONJ NOUN ADP ADJ NOUN PUNCT VERB ADV PART VERB ADP PRON VERB VERB DET NOUN ADP ADJ ADJ NOUN	▁The ir ▁stories ▁were n ' t ▁ones ▁of ▁passive ▁pain , ▁but ▁tal es ▁of ▁active ▁resistance ▁ — ▁having ▁somewhere ▁to ▁run ▁to , ▁they ▁' d ▁got ▁a ▁grip ▁of ▁their ▁own ▁lives .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	ADJ ADJ NOUN VERB VERB VERB VERB NOUN ADP ADJ NOUN NOUN CCONJ NOUN NOUN ADP ADJ NOUN PUNCT PUNCT VERB ADV PART VERB ADP ADP PRON VERB VERB VERB DET NOUN ADP ADJ ADJ NOUN NOUN
has he got his grip back?	0 0 1 0 1 0	get a grip	figurative	combined-inflection	VERB PRON VERB ADJ NOUN ADV	▁has ▁he ▁got ▁his ▁grip ▁back ?	0 0 1 0 1 0 0	VERB PRON VERB ADJ NOUN ADV ADV
